2015/01/03 23:11:43.321 ::: Error -- Sample 'got' NOT FOUND
2015/01/03 23:11:43.326 ::: Error -- Sample 'power' NOT FOUND
2015/01/03 23:11:43.330 ::: Error -- Sample 'try' NOT FOUND
2015/01/03 23:11:43.335 ::: Error -- Sample 'supreme' NOT FOUND
2015/01/03 23:11:43.339 ::: Error -- Sample 'all' NOT FOUND
2015/01/03 23:11:44.930 ::: Error -- Sample 'hail' NOT FOUND
2015/01/03 23:11:44.940 ::: Error -- Sample 'emperor' NOT FOUND
2015/01/03 23:11:44.960 ::: Info -- Exit code :0
2015/01/03 23:11:44.970 ::: Debug -- WorkDir: C:\Windows\System32\
2015/01/03 23:11:44.970 ::: Debug -- Running: C:\Windows\System32\
2015/01/03 23:11:44.980 ::: Debug -- Exe    : taskkill.exe
2015/01/03 23:11:44.990 ::: Debug -- ARGS   : /T /F /FI "IMAGENAME eq QBW.Magic.LED*"
2015/01/03 23:11:44.990 ::: Debug -- Wait   : True
2015/01/03 23:11:45.160 ::: Info -- SUCCESS: The process with PID 286776 (child process of PID 312496) has been terminated.
2015/01/03 23:11:45.170 ::: Info -- Exit code :0
2015/01/03 23:11:45.170 ::: Debug -- WorkDir: C:\Users\davidq\Documents\GitHub\arcade\QBWmagicLED\QBW_Magic_LED\bin\Release\
2015/01/03 23:11:45.180 ::: Debug -- Running: C:\Users\davidq\Documents\GitHub\arcade\QBWmagicLED\QBW_Magic_LED\bin\Release\
2015/01/03 23:11:45.180 ::: Debug -- Exe    : QBW.Magic.LED.exe
2015/01/03 23:11:45.190 ::: Debug -- ARGS   : default.txt
2015/01/03 23:11:45.190 ::: Debug -- Wait   : False
2015/01/03 23:11:45.220 ::: Debug -- WorkDir: C:\Windows\System32\
2015/01/03 23:11:45.220 ::: Debug -- Running: C:\Windows\System32\
2015/01/03 23:11:45.230 ::: Debug -- Exe    : taskkill.exe
2015/01/03 23:11:45.230 ::: Debug -- ARGS   : /T /F /FI "IMAGENAME eq MameButtons*"
2015/01/03 23:11:45.240 ::: Debug -- Wait   : True
2015/01/03 23:11:45.440 ::: Info -- SUCCESS: The process with PID 311756 (child process of PID 312496) has been terminated.
2015/01/03 23:11:45.450 ::: Info -- Exit code :0
2015/01/03 23:11:45.460 ::: Debug -- Ending
2015/01/03 23:11:48.105 ::: Info -- ===========================================================
2015/01/03 23:11:48.125 ::: Info -- ===========================================================
2015/01/03 23:11:48.135 ::: Info -- ===========================================================
2015/01/03 23:11:48.145 ::: Debug -- Starting
2015/01/03 23:11:48.155 ::: Debug -- WorkDir: C:\Windows\System32\
